	1468042707		$RATTM,01,1.41,190.32,T,0.2,250.2,T,1.22,-256.94,N,,T,,053822.00,M*2E
	1468042709		$RATTM,01,1.41,190.32,T,0.2,250.2,T,1.22,-256.94,N,,T,,053824.00,M*28
	1468042711		$RATTM,01,1.41,190.28,T,0.2,253.0,T,1.26,-205.10,N,,T,,053826.00,M*2E
	1468042713		$RATTM,01,1.41,190.41,T,0.2,258.8,T,1.31,-127.95,N,,T,,053828.00,M*24
	1468042715		$RATTM,01,1.41,190.37,T,0.3,262.1,T,1.34,-90.38,N,,T,,053830.00,M*12
	1468042717		$RATTM,01,1.41,190.45,T,0.3,264.9,T,1.36,-65.55,N,,T,,053832.00,M*18
	1468042719		$RATTM,01,1.41,190.38,T,0.4,265.6,T,1.37,-57.81,N,,T,,053834.00,M*14
	1468042721		$RATTM,01,1.41,190.38,T,0.4,265.6,T,1.37,-57.81,N,,T,,053836.00,M*16
	1468042723		$RATTM,01,1.41,190.44,T,0.0,84.8,T,1.21,-8344.01,N,,T,,053838.00,M*22
	1468042725		$RATTM,01,1.42,190.61,T,0.0,85.8,T,1.22,-8738.13,N,,T,,053840.00,M*27
	1468042727		$RATTM,01,1.41,190.40,T,0.0,86.4,T,1.22,-8738.13,N,,T,,053842.00,M*2A
	1468042729		$RATTM,01,1.42,190.49,T,0.0,87.9,T,1.23,-8738.13,N,,T,,053844.00,M*2B
	1468042731		$RATTM,01,1.42,190.49,T,0.0,87.9,T,1.23,-8738.13,N,,T,,053846.00,M*29
	1468042733		$RATTM,01,1.41,190.37,T,0.0,90.0,T,1.24,-8738.13,N,,T,,053848.00,M*25
	1468042735		$RATTM,01,1.42,190.48,T,0.0,93.8,T,1.16,-8738.13,N,,T,,053850.00,M*2D
	1468042737		$RATTM,01,1.42,190.43,T,0.0,97.4,T,1.26,-8738.13,N,,T,,053852.00,M*2F
	1468042739		$RATTM,01,1.42,190.36,T,0.0,100.8,T,1.16,-8738.13,N,,T,,053854.0	1468042740		0,M*1B
	1468042741		$RATTM,01,1.42,190.36,T,0.0,100.8,T,1.16,-8738.13,N,,T,,053856.0	1468042742		0,M*19
	1468042744		$RATTM,01,1.42,190.36,T,0.0,105.0,T,1.16,-8738.13,N,,T,,053858.00,M*1A
	1468042746		$RATTM,01,1.42,190.43,T,0.0,108.8,T,1.36,-8738.13,N,,T,,053900.00,M*13
	1468042748		$RATTM,01,1.42,190.37,T,0.0,114.2,T,1.16,-8738.13,N,,T,,053902.00,M*17
	1468042750		$RATTM,01,1.42,190.53,T,0.0,120.0,T,1.16,-8738.13,N,,T,,053904.00,M*16
	1468042752		$RATTM,01,1.42,190.53,T,0.0,120.0,T,1.16,-8738.13,N,,T,,053906.00,M*14
	1468042754		$RATTM,01,1.42,190.51,T,0.0,128.0,T,1.16,-8738.13,N,,T,,053908.00,M*10
	1468042756		$RATTM,01,1.42,190.44,T,0.0,135.9,T,1.16,-8738.13,N,,T,,053910.00,M*18
	1468042758		$RATTM,01,1.42,190.53,T,0.0,150.4,T,1.16,-8738.13,N,,T,,053912.00,M*12
	1468042760		$RATTM,01,1.42,190.50,T,0.0,166.0,T,1.16,-8738.13,N,,T,,053914.00,M*16
